Frame,Width,Height,Time_ms
0,1920,1080,8.301
1,1920,1080,2.817
2,1920,1080,2.88
3,1920,1080,2.939
4,1920,1080,3.162
5,1920,1080,2.995
6,1920,1080,2.858
7,1920,1080,2.814
8,1920,1080,3.061
9,1920,1080,2.968
10,1920,1080,3.031
11,1920,1080,2.859
12,1920,1080,2.935
13,1920,1080,2.937
14,1920,1080,2.747
15,1920,1080,2.891
16,1920,1080,2.826
17,1920,1080,2.87
18,1920,1080,2.875
19,1920,1080,2.757
20,1920,1080,2.847
21,1920,1080,2.917
22,1920,1080,2.795
23,1920,1080,2.766
24,1920,1080,2.781
25,1920,1080,2.913
26,1920,1080,2.784
27,1920,1080,2.819
28,1920,1080,2.764
29,1920,1080,2.873
30,1920,1080,2.713
31,1920,1080,2.92
32,1920,1080,2.837
33,1920,1080,2.683
34,1920,1080,2.76
35,1920,1080,2.79
36,1920,1080,2.714
37,1920,1080,2.678
38,1920,1080,2.672
39,1920,1080,2.76
40,1920,1080,2.771
41,1920,1080,2.646
42,1920,1080,2.669
43,1920,1080,2.668
44,1920,1080,2.655
45,1920,1080,2.72
46,1920,1080,2.662
47,1920,1080,2.684
48,1920,1080,2.706
49,1920,1080,2.689
50,1920,1080,2.834
51,1920,1080,2.896
52,1920,1080,2.845
53,1920,1080,2.824
54,1920,1080,2.775
55,1920,1080,2.654
56,1920,1080,2.861
57,1920,1080,2.851
58,1920,1080,2.727
59,1920,1080,2.797
60,1920,1080,2.807
61,1920,1080,2.842
62,1920,1080,2.645
63,1920,1080,2.772
64,1920,1080,2.832
65,1920,1080,2.918
66,1920,1080,2.839
67,1920,1080,2.801
68,1920,1080,2.925
69,1920,1080,2.849
70,1920,1080,2.801
71,1920,1080,2.675
72,1920,1080,2.829
73,1920,1080,2.735
74,1920,1080,2.806
75,1920,1080,2.841
76,1920,1080,2.782
77,1920,1080,2.824
78,1920,1080,2.808
79,1920,1080,2.881
80,1920,1080,2.894
81,1920,1080,2.866
82,1920,1080,2.897
83,1920,1080,2.863
84,1920,1080,2.824
85,1920,1080,2.729
86,1920,1080,2.801
87,1920,1080,2.787
88,1920,1080,2.781
89,1920,1080,2.724
90,1920,1080,2.668
91,1920,1080,2.782
92,1920,1080,2.635
93,1920,1080,2.854
94,1920,1080,2.811
95,1920,1080,2.939
96,1920,1080,2.933
97,1920,1080,2.947
98,1920,1080,2.846
99,1920,1080,2.757
100,1920,1080,2.918
101,1920,1080,2.851
102,1920,1080,2.934
103,1920,1080,2.921
104,1920,1080,3.058
105,1920,1080,2.797
106,1920,1080,3.138
107,1920,1080,3.007
108,1920,1080,2.89
109,1920,1080,3.106
110,1920,1080,3.022
111,1920,1080,2.832
112,1920,1080,2.923
113,1920,1080,2.783
114,1920,1080,2.765
115,1920,1080,2.845
116,1920,1080,3.199
117,1920,1080,3.024
118,1920,1080,2.869
119,1920,1080,2.817
120,1920,1080,2.739
121,1920,1080,2.768
122,1920,1080,2.681
123,1920,1080,2.767
124,1920,1080,2.778
125,1920,1080,2.638
126,1920,1080,2.675
127,1920,1080,2.632
128,1920,1080,2.645
129,1920,1080,2.765
130,1920,1080,2.846
131,1920,1080,2.921
132,1920,1080,2.882
133,1920,1080,2.833
134,1920,1080,2.777
135,1920,1080,2.79
136,1920,1080,2.963
137,1920,1080,2.865
138,1920,1080,2.766
139,1920,1080,2.774
140,1920,1080,2.808
141,1920,1080,2.874
142,1920,1080,2.984
143,1920,1080,2.913
144,1920,1080,2.836
145,1920,1080,2.896
146,1920,1080,2.805
147,1920,1080,2.656
148,1920,1080,2.695
149,1920,1080,2.864
150,1920,1080,2.728
151,1920,1080,2.939
152,1920,1080,2.839
153,1920,1080,2.882
154,1920,1080,2.875
155,1920,1080,2.752
156,1920,1080,2.785
157,1920,1080,2.796
158,1920,1080,2.732
159,1920,1080,2.663
160,1920,1080,2.8
161,1920,1080,2.915
162,1920,1080,2.768
163,1920,1080,2.708
164,1920,1080,2.713
165,1920,1080,2.673
166,1920,1080,2.675
167,1920,1080,2.895
168,1920,1080,2.75
169,1920,1080,2.631
170,1920,1080,2.762
171,1920,1080,2.885
172,1920,1080,2.718
173,1920,1080,2.782
174,1920,1080,2.919
175,1920,1080,3.016
176,1920,1080,2.986
177,1920,1080,2.818
178,1920,1080,2.893
179,1920,1080,2.994
180,1920,1080,2.86
181,1920,1080,2.789
182,1920,1080,2.874
183,1920,1080,2.821
184,1920,1080,2.628
185,1920,1080,2.887
186,1920,1080,3.04
187,1920,1080,2.722
188,1920,1080,2.844
189,1920,1080,2.863
190,1920,1080,3.157
191,1920,1080,3.204
192,1920,1080,2.927
193,1920,1080,3.021
194,1920,1080,3.166
195,1920,1080,3.35
196,1920,1080,2.981
197,1920,1080,2.768
198,1920,1080,2.892
199,1920,1080,3.299
200,1920,1080,2.935
201,1920,1080,2.891
202,1920,1080,2.986
203,1920,1080,2.893
204,1920,1080,2.961
205,1920,1080,3.066
206,1920,1080,3.077
207,1920,1080,2.958
208,1920,1080,2.758
209,1920,1080,2.794
210,1920,1080,2.909
211,1920,1080,3.006
212,1920,1080,2.804
213,1920,1080,2.895
214,1920,1080,2.855
215,1920,1080,2.742
216,1920,1080,2.898
217,1920,1080,2.952
218,1920,1080,3.072
219,1920,1080,3.05
220,1920,1080,2.836
221,1920,1080,3
222,1920,1080,2.919
223,1920,1080,2.784
224,1920,1080,2.716
225,1920,1080,2.781
226,1920,1080,2.919
227,1920,1080,2.957
228,1920,1080,3.03
229,1920,1080,2.951
230,1920,1080,2.946
231,1920,1080,2.886
232,1920,1080,2.933
233,1920,1080,2.959
234,1920,1080,3.021
235,1920,1080,2.926
236,1920,1080,2.867
237,1920,1080,2.897
238,1920,1080,3.111
239,1920,1080,2.966
240,1920,1080,2.754
241,1920,1080,3.09
242,1920,1080,2.975
243,1920,1080,2.969
244,1920,1080,2.909
245,1920,1080,2.946
246,1920,1080,2.827
247,1920,1080,2.828
248,1920,1080,2.762
249,1920,1080,2.811
250,1920,1080,2.776
251,1920,1080,3.02
252,1920,1080,2.941
253,1920,1080,2.984
254,1920,1080,2.993
255,1920,1080,2.962
256,1920,1080,2.871
257,1920,1080,2.936
258,1920,1080,2.849
259,1920,1080,2.724
260,1920,1080,2.684
261,1920,1080,2.756
262,1920,1080,2.815
263,1920,1080,2.723
264,1920,1080,2.775
265,1920,1080,2.99
266,1920,1080,2.963
267,1920,1080,2.846
268,1920,1080,2.854
269,1920,1080,3.088
270,1920,1080,2.987
271,1920,1080,2.841
272,1920,1080,2.664
273,1920,1080,2.745
274,1920,1080,2.831
275,1920,1080,2.791
276,1920,1080,2.804
277,1920,1080,3.239
278,1920,1080,3.221
279,1920,1080,3.021
280,1920,1080,2.905
281,1920,1080,2.957
282,1920,1080,2.723
283,1920,1080,2.886
284,1920,1080,2.79
285,1920,1080,2.797
286,1920,1080,2.892
287,1920,1080,2.678
288,1920,1080,2.641
289,1920,1080,2.769
290,1920,1080,2.942
291,1920,1080,2.903
292,1920,1080,2.859
293,1920,1080,2.852
294,1920,1080,2.885
295,1920,1080,2.85
296,1920,1080,2.819
297,1920,1080,2.788
298,1920,1080,2.746
299,1920,1080,2.899
300,1920,1080,2.805
301,1920,1080,2.707
302,1920,1080,2.683
303,1920,1080,2.746
304,1920,1080,2.893
305,1920,1080,2.857
306,1920,1080,2.914
307,1920,1080,2.92
308,1920,1080,3.063
309,1920,1080,2.846
310,1920,1080,2.772
311,1920,1080,2.9
312,1920,1080,2.775
313,1920,1080,2.87
314,1920,1080,2.965
315,1920,1080,2.668
316,1920,1080,2.625
317,1920,1080,2.856
318,1920,1080,2.906
319,1920,1080,2.972
320,1920,1080,2.714
321,1920,1080,2.931
322,1920,1080,2.885
323,1920,1080,3.114
324,1920,1080,2.817
325,1920,1080,2.858
326,1920,1080,2.969
327,1920,1080,3
328,1920,1080,2.891
329,1920,1080,2.809
330,1920,1080,3.083
331,1920,1080,3.055
332,1920,1080,2.873
333,1920,1080,2.911
334,1920,1080,2.883
335,1920,1080,2.712
336,1920,1080,2.81
337,1920,1080,2.861
338,1920,1080,2.843
339,1920,1080,2.78
340,1920,1080,2.849
341,1920,1080,2.808
342,1920,1080,2.885
343,1920,1080,2.777
344,1920,1080,2.715
345,1920,1080,2.752
346,1920,1080,2.791
347,1920,1080,2.696
348,1920,1080,2.664
349,1920,1080,2.669
350,1920,1080,2.802
351,1920,1080,2.76
352,1920,1080,2.915
353,1920,1080,2.898
354,1920,1080,2.95
355,1920,1080,2.949
356,1920,1080,2.908
357,1920,1080,2.871
358,1920,1080,2.811
359,1920,1080,2.929
360,1920,1080,2.791
361,1920,1080,2.91
362,1920,1080,2.866
363,1920,1080,2.863
364,1920,1080,2.835
365,1920,1080,2.743
366,1920,1080,2.906
367,1920,1080,2.961
368,1920,1080,2.898
369,1920,1080,2.995
370,1920,1080,2.913
371,1920,1080,2.89
372,1920,1080,2.918
373,1920,1080,2.898
374,1920,1080,2.834
375,1920,1080,2.831
376,1920,1080,2.812
377,1920,1080,2.746
378,1920,1080,2.771
379,1920,1080,2.786
380,1920,1080,2.868
381,1920,1080,2.745
382,1920,1080,2.792
383,1920,1080,2.704
384,1920,1080,2.918
385,1920,1080,2.939
386,1920,1080,2.847
387,1920,1080,2.739
388,1920,1080,2.901
389,1920,1080,2.795
390,1920,1080,2.874
391,1920,1080,2.851
392,1920,1080,2.81
393,1920,1080,2.856
394,1920,1080,2.889
395,1920,1080,2.951
396,1920,1080,2.939
397,1920,1080,2.821
398,1920,1080,2.871
399,1920,1080,2.807
400,1920,1080,2.894
401,1920,1080,2.863
402,1920,1080,2.937
403,1920,1080,2.952
404,1920,1080,3.004
405,1920,1080,2.998
406,1920,1080,2.882
407,1920,1080,2.732
408,1920,1080,2.791
409,1920,1080,2.756
410,1920,1080,2.928
411,1920,1080,2.922
412,1920,1080,2.833
413,1920,1080,2.778
414,1920,1080,2.77
415,1920,1080,2.71
416,1920,1080,2.765
417,1920,1080,2.719
418,1920,1080,2.912
419,1920,1080,2.771
420,1920,1080,2.71
421,1920,1080,2.733
422,1920,1080,2.881
423,1920,1080,2.892
424,1920,1080,2.856
425,1920,1080,2.762
426,1920,1080,2.785
427,1920,1080,2.888
428,1920,1080,2.845
429,1920,1080,2.684
430,1920,1080,2.737
431,1920,1080,2.866
432,1920,1080,2.859
433,1920,1080,2.819
434,1920,1080,2.855
435,1920,1080,2.781
436,1920,1080,2.832
437,1920,1080,2.702
438,1920,1080,2.909
439,1920,1080,2.716
440,1920,1080,2.883
441,1920,1080,2.72
442,1920,1080,2.896
443,1920,1080,2.853
444,1920,1080,2.866
445,1920,1080,2.779
446,1920,1080,2.679
447,1920,1080,2.657
448,1920,1080,2.692
449,1920,1080,2.765
450,1920,1080,2.709
451,1920,1080,2.718
452,1920,1080,2.714
453,1920,1080,2.868
454,1920,1080,2.77
455,1920,1080,2.871
456,1920,1080,2.645
457,1920,1080,2.674
458,1920,1080,2.744
459,1920,1080,2.762
460,1920,1080,2.832
461,1920,1080,2.725
462,1920,1080,2.757
463,1920,1080,2.882
464,1920,1080,2.722
465,1920,1080,2.682
466,1920,1080,2.831
467,1920,1080,2.75
468,1920,1080,2.803
469,1920,1080,2.626
470,1920,1080,2.697
471,1920,1080,2.831
472,1920,1080,2.622
473,1920,1080,2.621
474,1920,1080,2.636
475,1920,1080,2.707
476,1920,1080,2.652
477,1920,1080,2.674
478,1920,1080,2.548
479,1920,1080,2.676
480,1920,1080,2.697
481,1920,1080,2.598
482,1920,1080,2.655
483,1920,1080,2.687
484,1920,1080,2.569
485,1920,1080,2.614
486,1920,1080,5.833
487,1920,1080,2.789
488,1920,1080,2.759
489,1920,1080,2.868
490,1920,1080,2.879
491,1920,1080,2.889
492,1920,1080,3.035
493,1920,1080,2.743
494,1920,1080,2.887
495,1920,1080,2.818
496,1920,1080,2.931
497,1920,1080,2.732
498,1920,1080,2.795
499,1920,1080,2.767
500,1920,1080,2.709
501,1920,1080,2.816
502,1920,1080,2.824
503,1920,1080,2.763
504,1920,1080,2.877
505,1920,1080,2.839
506,1920,1080,2.896
507,1920,1080,3.088
508,1920,1080,2.935
509,1920,1080,2.818
510,1920,1080,2.976
511,1920,1080,2.91
512,1920,1080,2.95
513,1920,1080,2.942
514,1920,1080,2.996
515,1920,1080,2.768
516,1920,1080,2.82
517,1920,1080,2.979
518,1920,1080,2.964
519,1920,1080,2.857
520,1920,1080,2.991
521,1920,1080,2.877
522,1920,1080,2.936
523,1920,1080,2.796
524,1920,1080,2.9
525,1920,1080,2.916
526,1920,1080,2.897
527,1920,1080,2.877
528,1920,1080,2.769
529,1920,1080,2.718
530,1920,1080,2.778
531,1920,1080,2.757
532,1920,1080,2.707
533,1920,1080,2.725
534,1920,1080,2.978
535,1920,1080,2.898
536,1920,1080,2.917
537,1920,1080,2.885
538,1920,1080,2.907
539,1920,1080,2.788
540,1920,1080,2.764
541,1920,1080,2.904
542,1920,1080,2.821
543,1920,1080,2.704
544,1920,1080,2.776
545,1920,1080,2.763
546,1920,1080,2.718
547,1920,1080,2.728
548,1920,1080,2.779
549,1920,1080,2.739
550,1920,1080,2.894
551,1920,1080,2.657
552,1920,1080,2.939
553,1920,1080,2.924
554,1920,1080,2.881
555,1920,1080,2.858
556,1920,1080,2.882
557,1920,1080,2.822
558,1920,1080,3.084
559,1920,1080,2.903
560,1920,1080,2.71
561,1920,1080,2.887
562,1920,1080,2.929
563,1920,1080,2.941
564,1920,1080,2.969
565,1920,1080,2.999
566,1920,1080,2.968
567,1920,1080,2.997
568,1920,1080,2.811
569,1920,1080,2.873
570,1920,1080,2.884
571,1920,1080,2.858
572,1920,1080,2.762
573,1920,1080,3.062
574,1920,1080,3.058
575,1920,1080,2.857
576,1920,1080,2.774
577,1920,1080,2.803
578,1920,1080,2.797
579,1920,1080,2.896
580,1920,1080,2.86
581,1920,1080,2.75
582,1920,1080,3.002
583,1920,1080,2.885
584,1920,1080,3.04
585,1920,1080,2.83
586,1920,1080,2.856
587,1920,1080,2.821
588,1920,1080,3.048
589,1920,1080,3.124
590,1920,1080,3.181
591,1920,1080,3.163
592,1920,1080,3.283
593,1920,1080,3.068
594,1920,1080,3.025
595,1920,1080,3.241
596,1920,1080,3.075
597,1920,1080,2.908
598,1920,1080,3.057
599,1920,1080,3.081
600,1920,1080,2.994
601,1920,1080,2.877
602,1920,1080,2.991
603,1920,1080,3.091
604,1920,1080,2.782
605,1920,1080,2.899
606,1920,1080,3.048
607,1920,1080,3.207
608,1920,1080,2.881
609,1920,1080,3.113
610,1920,1080,3.053
611,1920,1080,3.081
612,1920,1080,2.989
613,1920,1080,3.078
614,1920,1080,3.563
615,1920,1080,2.953
616,1920,1080,2.893
617,1920,1080,2.936
618,1920,1080,2.876
619,1920,1080,2.876
620,1920,1080,2.884
621,1920,1080,2.932
622,1920,1080,2.902
623,1920,1080,3.085
624,1920,1080,2.896
625,1920,1080,2.909
626,1920,1080,2.956
627,1920,1080,2.889
628,1920,1080,3.05
629,1920,1080,3.029
630,1920,1080,2.881
631,1920,1080,3.396
632,1920,1080,3.103
633,1920,1080,2.917
634,1920,1080,3.252
635,1920,1080,3.112
636,1920,1080,2.947
637,1920,1080,3.291
638,1920,1080,3.024
639,1920,1080,2.96
640,1920,1080,2.882
641,1920,1080,3.178
642,1920,1080,3.063
643,1920,1080,3.106
644,1920,1080,3.068
645,1920,1080,2.911
646,1920,1080,2.947
647,1920,1080,3.046
648,1920,1080,3.116
649,1920,1080,3.035
650,1920,1080,3.137
651,1920,1080,3.131
652,1920,1080,3.068
653,1920,1080,3.073
654,1920,1080,3.741
655,1920,1080,3.288
656,1920,1080,3.076
657,1920,1080,3.022
658,1920,1080,2.927
659,1920,1080,3.043
660,1920,1080,2.974
661,1920,1080,2.97
662,1920,1080,2.989
663,1920,1080,2.972
664,1920,1080,2.889
665,1920,1080,3.067
666,1920,1080,2.87
667,1920,1080,2.977
668,1920,1080,3.066
669,1920,1080,3.4
670,1920,1080,3.033
671,1920,1080,3.095
672,1920,1080,3.177
673,1920,1080,3.046
674,1920,1080,3.095
675,1920,1080,3.228
676,1920,1080,2.995
677,1920,1080,3.159
678,1920,1080,3.041
679,1920,1080,2.875
680,1920,1080,3.058
681,1920,1080,2.941
682,1920,1080,3.052
683,1920,1080,3.049
684,1920,1080,3.156
685,1920,1080,2.916
686,1920,1080,2.859
687,1920,1080,2.958
688,1920,1080,3.024
689,1920,1080,3.014
690,1920,1080,2.829
691,1920,1080,2.763
692,1920,1080,2.812
693,1920,1080,2.942
694,1920,1080,2.949
695,1920,1080,2.831
696,1920,1080,3.008
697,1920,1080,3.045
698,1920,1080,2.832
699,1920,1080,2.992
700,1920,1080,3.199
701,1920,1080,2.941
702,1920,1080,2.996
703,1920,1080,3.35
704,1920,1080,3.26
705,1920,1080,2.993
706,1920,1080,3.089
707,1920,1080,3.08
708,1920,1080,3.035
709,1920,1080,3.147
710,1920,1080,3.022
711,1920,1080,3.007
712,1920,1080,3.026
713,1920,1080,2.827
714,1920,1080,2.953
715,1920,1080,3.153
716,1920,1080,3.114
717,1920,1080,3.144
718,1920,1080,2.949
719,1920,1080,2.986
720,1920,1080,3.011
721,1920,1080,3.049
722,1920,1080,3.271
723,1920,1080,3.142
724,1920,1080,3.199
725,1920,1080,2.981
726,1920,1080,2.841
727,1920,1080,2.957
728,1920,1080,3.102
729,1920,1080,2.891
730,1920,1080,2.932
731,1920,1080,2.953
732,1920,1080,2.902
733,1920,1080,2.778
734,1920,1080,3.091
735,1920,1080,2.854
736,1920,1080,3.038
737,1920,1080,3.026
738,1920,1080,2.934
739,1920,1080,2.977
740,1920,1080,2.764
741,1920,1080,2.828
742,1920,1080,2.871
743,1920,1080,2.988
744,1920,1080,3.028
745,1920,1080,2.863
746,1920,1080,3.034
747,1920,1080,2.956
748,1920,1080,2.838
749,1920,1080,2.862
750,1920,1080,2.872
751,1920,1080,2.961
752,1920,1080,2.876
753,1920,1080,2.871
754,1920,1080,3.029
755,1920,1080,3.038
756,1920,1080,2.861
757,1920,1080,2.856
758,1920,1080,2.919
759,1920,1080,2.892
760,1920,1080,2.932
761,1920,1080,2.976
762,1920,1080,2.955
763,1920,1080,3.004
764,1920,1080,2.822
765,1920,1080,2.857
766,1920,1080,2.759
767,1920,1080,2.79
768,1920,1080,2.795
769,1920,1080,2.784
770,1920,1080,2.814
771,1920,1080,2.816
772,1920,1080,2.862
773,1920,1080,2.741
774,1920,1080,2.807
775,1920,1080,2.875
776,1920,1080,2.915
777,1920,1080,2.967
778,1920,1080,2.937
779,1920,1080,2.857
780,1920,1080,2.922
781,1920,1080,2.939
782,1920,1080,3.006
783,1920,1080,2.99
784,1920,1080,2.92
785,1920,1080,2.812
786,1920,1080,2.917
787,1920,1080,2.857
788,1920,1080,2.983
789,1920,1080,2.839
790,1920,1080,2.901
791,1920,1080,2.846
792,1920,1080,2.921
793,1920,1080,2.848
794,1920,1080,2.831
795,1920,1080,2.824
796,1920,1080,2.816
797,1920,1080,2.84
798,1920,1080,3.209
799,1920,1080,2.983
800,1920,1080,2.855
801,1920,1080,3.095
802,1920,1080,2.957
803,1920,1080,2.95
804,1920,1080,3.083
805,1920,1080,2.966
806,1920,1080,2.93
807,1920,1080,3.153
808,1920,1080,3.083
809,1920,1080,3.164
810,1920,1080,2.926
811,1920,1080,3.045
812,1920,1080,3.015
813,1920,1080,2.913
814,1920,1080,2.946
815,1920,1080,2.852
816,1920,1080,2.794
817,1920,1080,2.863
818,1920,1080,2.679
819,1920,1080,2.853
820,1920,1080,3.027
821,1920,1080,2.953
822,1920,1080,2.929
823,1920,1080,2.901
824,1920,1080,2.898
825,1920,1080,2.914
826,1920,1080,2.86
827,1920,1080,3.18
828,1920,1080,3.059
829,1920,1080,2.881
830,1920,1080,2.924
831,1920,1080,2.961
832,1920,1080,2.925
833,1920,1080,2.965
834,1920,1080,2.888
835,1920,1080,2.917
836,1920,1080,2.867
837,1920,1080,2.931
838,1920,1080,3.028
839,1920,1080,3.122
840,1920,1080,2.931
841,1920,1080,3.208
842,1920,1080,2.928
843,1920,1080,2.922
844,1920,1080,2.784
845,1920,1080,3.095
846,1920,1080,3.131
847,1920,1080,2.989
848,1920,1080,2.868
849,1920,1080,2.764
850,1920,1080,2.907
851,1920,1080,2.92
852,1920,1080,2.922
853,1920,1080,2.869
854,1920,1080,2.999
855,1920,1080,2.968
856,1920,1080,2.876
857,1920,1080,2.913
858,1920,1080,3.102
859,1920,1080,2.891
860,1920,1080,2.959
861,1920,1080,3.04
862,1920,1080,3.005
863,1920,1080,2.948
864,1920,1080,2.943
865,1920,1080,2.968
866,1920,1080,2.828
867,1920,1080,3.057
868,1920,1080,3.115
869,1920,1080,2.899
870,1920,1080,2.937
871,1920,1080,3.124
872,1920,1080,2.923
873,1920,1080,2.936
874,1920,1080,2.988
875,1920,1080,2.937
876,1920,1080,2.913
877,1920,1080,2.967
878,1920,1080,2.998
879,1920,1080,2.874
880,1920,1080,2.812
881,1920,1080,2.979
882,1920,1080,2.987
883,1920,1080,2.963
884,1920,1080,2.91
885,1920,1080,2.897
886,1920,1080,3.003
887,1920,1080,3.092
888,1920,1080,3.066
889,1920,1080,2.987
890,1920,1080,3.041
891,1920,1080,2.934
892,1920,1080,2.992
893,1920,1080,3.069
894,1920,1080,2.869
895,1920,1080,2.88
896,1920,1080,2.891
897,1920,1080,3.012
898,1920,1080,2.899
899,1920,1080,3.006
900,1920,1080,2.895
901,1920,1080,2.992
902,1920,1080,2.943
903,1920,1080,3.035
904,1920,1080,3.145
905,1920,1080,3.006
906,1920,1080,2.895
907,1920,1080,2.888
908,1920,1080,3.264
909,1920,1080,3.055
910,1920,1080,3.073
911,1920,1080,3.119
912,1920,1080,2.998
913,1920,1080,2.842
914,1920,1080,2.908
915,1920,1080,3.028
916,1920,1080,2.884
917,1920,1080,2.965
918,1920,1080,2.968
919,1920,1080,2.946
920,1920,1080,2.799
921,1920,1080,2.867
922,1920,1080,3.014
923,1920,1080,2.972
924,1920,1080,3.048
925,1920,1080,2.797
926,1920,1080,2.983
927,1920,1080,2.904
928,1920,1080,2.982
929,1920,1080,3.023
930,1920,1080,2.981
931,1920,1080,3.078
932,1920,1080,2.996
933,1920,1080,3.061
934,1920,1080,2.88
935,1920,1080,2.852
936,1920,1080,3.013
937,1920,1080,2.966
938,1920,1080,2.967
939,1920,1080,2.875
940,1920,1080,2.908
941,1920,1080,3.145
942,1920,1080,2.884
943,1920,1080,2.844
944,1920,1080,2.775
945,1920,1080,2.784
946,1920,1080,2.882
947,1920,1080,2.882
948,1920,1080,2.832
949,1920,1080,2.862
950,1920,1080,2.883
951,1920,1080,2.887
952,1920,1080,2.799
953,1920,1080,2.881
954,1920,1080,2.794
955,1920,1080,2.817
956,1920,1080,2.787
957,1920,1080,2.902
958,1920,1080,2.822
959,1920,1080,2.751
960,1920,1080,2.859
961,1920,1080,2.718
962,1920,1080,2.827
963,1920,1080,2.734
964,1920,1080,2.817
965,1920,1080,2.77
966,1920,1080,2.786
967,1920,1080,2.911
968,1920,1080,2.782
969,1920,1080,2.721
970,1920,1080,2.747
971,1920,1080,2.886
972,1920,1080,5.88
973,1920,1080,2.883
974,1920,1080,2.869
975,1920,1080,2.749
976,1920,1080,2.986
977,1920,1080,2.897
978,1920,1080,3.067
979,1920,1080,2.835
980,1920,1080,2.784
981,1920,1080,2.657
982,1920,1080,2.689
983,1920,1080,2.771
984,1920,1080,2.772
985,1920,1080,2.786
986,1920,1080,2.839
987,1920,1080,2.867
988,1920,1080,2.904
989,1920,1080,2.742
990,1920,1080,2.947
991,1920,1080,2.902
992,1920,1080,2.939
993,1920,1080,2.94
994,1920,1080,2.893
995,1920,1080,2.746
996,1920,1080,2.816
997,1920,1080,2.977
998,1920,1080,2.807
999,1920,1080,2.728
1000,1920,1080,2.852
1001,1920,1080,3.033
1002,1920,1080,2.872
1003,1920,1080,2.901
1004,1920,1080,3.237
1005,1920,1080,3.063
1006,1920,1080,3.037
1007,1920,1080,3.123
1008,1920,1080,2.985
1009,1920,1080,2.865
1010,1920,1080,3.014
1011,1920,1080,2.933
1012,1920,1080,2.805
1013,1920,1080,2.895
1014,1920,1080,2.961
1015,1920,1080,2.903
1016,1920,1080,2.841
1017,1920,1080,2.928
1018,1920,1080,2.817
1019,1920,1080,2.844
1020,1920,1080,3.045
1021,1920,1080,2.844
1022,1920,1080,2.975
1023,1920,1080,2.963
1024,1920,1080,3.003
